,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:41:08+00:00,2019-08-06 00:38:36+00:00,2019-08-06 00:43:16+00:00,2019-08-06 00:44:19+00:00,2019-08-06 00:45:48+00:00,2019-08-06 00:46:38+00:00,2019-08-06 00:47:26+00:00,2019-08-06 00:48:07+00:00,2019-08-06 00:48:59+00:00,2019-08-06 00:49:38+00:00,2019-08-06 00:50:19+00:00,2019-08-06 00:50:57+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299999952316284,6.599999904632568,8.0,8.300000190734863,8.399999618530273,8.899999618530273,9.199999809265137,9.199999809265137,9.300000190734863,9.300000190734863
1,2019-08-06 03:01:18+00:00,2019-08-06 03:00:45+00:00,2019-08-06 02:59:58+00:00,2019-08-06 02:59:19+00:00,2019-08-06 02:58:38+00:00,2019-08-06 02:57:58+00:00,2019-08-06 02:57:19+00:00,2019-08-06 02:56:43+00:00,2019-08-06 02:55:31+00:00,2019-08-06 02:43:23+00:00,2019-08-06 02:39:24+00:00,2019-08-06 02:37:02+00:00,2019-08-06 02:36:02+00:00,2019-08-06 02:34:55+00:00,2019-08-06 02:34:08+00:00,2019-08-06 02:33:17+00:00,2019-08-06 02:32:22+00:00,2019-08-06 02:31:43+00:00,2019-08-06 02:31:02+00:00,9.0,9.199999809265137,9.199999809265137,9.199999809265137,9.300000190734863,9.300000190734863,9.100000381469727,8.899999618530273,6.800000190734863,0.0,3.400000095367431,5.699999809265137,5.900000095367432,6.800000190734863,8.199999809265137,8.600000381469727,8.899999618530273,9.600000381469727,9.699999809265137
2,2019-08-06 03:02:48+00:00,2019-08-06 03:02:16+00:00,2019-08-06 03:01:29+00:00,2019-08-06 03:00:39+00:00,2019-08-06 02:59:46+00:00,2019-08-06 02:59:08+00:00,2019-08-06 02:58:28+00:00,2019-08-06 02:57:39+00:00,2019-08-06 02:56:16+00:00,2019-08-06 02:55:28+00:00,2019-08-06 02:46:29+00:00,2019-08-06 02:39:18+00:00,2019-08-06 02:38:08+00:00,2019-08-06 02:37:18+00:00,2019-08-06 02:36:18+00:00,2019-08-06 02:35:26+00:00,2019-08-06 02:34:37+00:00,2019-08-06 02:33:57+00:00,2019-08-06 02:33:08+00:00,8.0,8.0,8.199999809265137,8.100000381469727,8.399999618530273,8.300000190734863,8.199999809265137,7.900000095367432,6.5,5.099999904632568,0.10000000149011601,5.199999809265137,6.400000095367432,7.199999809265137,8.100000381469727,8.399999618530273,8.800000190734863,9.100000381469727,9.100000381469727
3,2019-08-06 02:40:52+00:00,2019-08-06 02:41:12+00:00,2019-08-06 02:42:42+00:00,2019-08-06 02:44:33+00:00,2019-08-06 02:53:21+00:00,2019-08-06 02:59:02+00:00,2019-08-06 03:00:42+00:00,2019-08-06 03:02:11+00:00,2019-08-06 03:05:23+00:00,2019-08-06 03:10:04+00:00,2019-08-06 03:28:52+00:00,2019-08-06 03:31:04+00:00,2019-08-06 03:31:51+00:00,2019-08-06 03:32:53+00:00,2019-08-06 03:33:40+00:00,2019-08-06 03:34:22+00:00,2019-08-06 03:35:13+00:00,2019-08-06 03:36:01+00:00,2019-08-06 03:36:43+00:00,6.199999809265137,5.599999904632568,4.199999809265137,2.5,0.10000000149011601,3.900000095367431,4.199999809265137,3.900000095367431,2.0,1.0,3.5,6.699999809265137,7.199999809265137,7.900000095367432,8.5,8.600000381469727,8.5,8.600000381469727,8.600000381469727
4,2019-08-06 02:44:27+00:00,2019-08-06 02:45:16+00:00,2019-08-06 02:47:07+00:00,2019-08-06 02:59:57+00:00,2019-08-06 03:01:47+00:00,2019-08-06 03:03:08+00:00,2019-08-06 03:04:46+00:00,2019-08-06 03:06:45+00:00,2019-08-06 03:11:38+00:00,2019-08-06 03:30:47+00:00,2019-08-06 03:32:07+00:00,2019-08-06 03:34:18+00:00,2019-08-06 03:35:17+00:00,2019-08-06 03:36:06+00:00,2019-08-06 03:36:56+00:00,2019-08-06 03:37:57+00:00,2019-08-06 03:38:47+00:00,2019-08-06 03:39:35+00:00,2019-08-06 03:40:26+00:00,5.5,4.599999904632568,2.200000047683716,2.799999952316284,4.400000095367432,4.099999904632568,3.5,2.299999952316284,1.100000023841858,3.0,4.099999904632568,6.5,7.099999904632568,7.400000095367432,7.599999904632568,7.800000190734863,7.900000095367432,7.800000190734863,7.800000190734863
5,2019-08-06 04:05:42+00:00,2019-08-06 04:05:12+00:00,2019-08-06 04:04:23+00:00,2019-08-06 04:03:34+00:00,2019-08-06 04:02:52+00:00,2019-08-06 04:02:02+00:00,2019-08-06 04:01:12+00:00,2019-08-06 04:00:23+00:00,2019-08-06 03:58:34+00:00,2019-08-06 03:43:43+00:00,2019-08-06 03:39:23+00:00,2019-08-06 03:36:02+00:00,2019-08-06 03:34:13+00:00,2019-08-06 03:31:54+00:00,2019-08-06 03:30:13+00:00,2019-08-06 03:28:52+00:00,2019-08-06 03:27:43+00:00,2019-08-06 03:26:34+00:00,2019-08-06 03:25:42+00:00,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.0,7.800000190734863,7.5,6.800000190734863,4.099999904632568,0.8000000119209291,2.0,4.199999809265137,2.700000047683716,3.400000095367431,4.699999809265137,5.300000190734863,5.900000095367432,6.800000190734863,7.400000095367432
6,2019-08-06 04:07:29+00:00,2019-08-06 04:07:39+00:00,2019-08-06 04:08:29+00:00,2019-08-06 04:09:06+00:00,2019-08-06 04:10:08+00:00,2019-08-06 04:11:08+00:00,2019-08-06 04:11:50+00:00,2019-08-06 04:12:49+00:00,2019-08-06 04:14:51+00:00,2019-08-06 04:16:30+00:00,2019-08-06 04:27:55+00:00,2019-08-06 04:34:35+00:00,2019-08-06 04:35:25+00:00,2019-08-06 04:36:15+00:00,2019-08-06 04:36:55+00:00,2019-08-06 04:37:55+00:00,2019-08-06 04:38:35+00:00,2019-08-06 04:39:35+00:00,2019-08-06 04:40:16+00:00,8.0,8.100000381469727,8.100000381469727,8.0,7.300000190734863,7.0,6.800000190734863,6.0,4.300000190734863,2.400000095367431,0.0,6.900000095367432,7.599999904632568,7.800000190734863,8.0,8.0,8.0,7.900000095367432,8.0
7,2019-08-06 04:14:03+00:00,2019-08-06 04:14:03+00:00,2019-08-06 04:14:43+00:00,2019-08-06 04:15:22+00:00,2019-08-06 04:16:10+00:00,2019-08-06 04:17:01+00:00,2019-08-06 04:17:41+00:00,2019-08-06 04:18:42+00:00,2019-08-06 04:20:42+00:00,2019-08-06 04:33:42+00:00,2019-08-06 04:34:54+00:00,2019-08-06 04:36:33+00:00,2019-08-06 04:37:24+00:00,2019-08-06 04:38:12+00:00,2019-08-06 04:39:13+00:00,2019-08-06 04:39:54+00:00,2019-08-06 04:40:44+00:00,2019-08-06 04:41:33+00:00,2019-08-06 04:42:24+00:00,9.600000381469727,9.600000381469727,9.800000190734863,9.199999809265137,7.800000190734863,7.199999809265137,7.0,6.300000190734863,4.099999904632568,3.299999952316284,5.400000095367432,7.199999809265137,7.5,7.599999904632568,8.0,8.399999618530273,8.5,8.600000381469727,8.600000381469727
8,2019-08-06 05:07:11+00:00,2019-08-06 05:06:30+00:00,2019-08-06 05:05:32+00:00,2019-08-06 05:04:38+00:00,2019-08-06 05:03:38+00:00,2019-08-06 05:02:49+00:00,2019-08-06 05:01:51+00:00,2019-08-06 05:00:38+00:00,2019-08-06 04:58:01+00:00,2019-08-06 04:56:11+00:00,2019-08-06 04:41:00+00:00,2019-08-06 04:37:30+00:00,2019-08-06 04:35:21+00:00,2019-08-06 04:26:02+00:00,2019-08-06 04:24:30+00:00,2019-08-06 04:23:12+00:00,2019-08-06 04:22:02+00:00,2019-08-06 04:21:01+00:00,2019-08-06 04:20:00+00:00,7.300000190734863,7.199999809265137,7.0,7.0,6.599999904632568,6.300000190734863,5.699999809265137,4.800000190734863,2.799999952316284,1.399999976158142,1.700000047683715,4.099999904632568,1.399999976158142,3.400000095367431,4.800000190734863,5.5,6.099999904632568,7.199999809265137,7.699999809265137
9,2019-08-06 05:08:10+00:00,2019-08-06 05:07:33+00:00,2019-08-06 05:06:43+00:00,2019-08-06 05:05:51+00:00,2019-08-06 05:05:01+00:00,2019-08-06 05:04:12+00:00,2019-08-06 05:03:12+00:00,2019-08-06 05:02:12+00:00,2019-08-06 05:00:13+00:00,2019-08-06 04:58:42+00:00,2019-08-06 04:45:22+00:00,2019-08-06 04:40:24+00:00,2019-08-06 04:38:13+00:00,2019-08-06 04:32:12+00:00,2019-08-06 04:28:54+00:00,2019-08-06 04:26:11+00:00,2019-08-06 04:24:12+00:00,2019-08-06 04:22:51+00:00,2019-08-06 04:21:42+00:00,8.199999809265137,8.0,7.800000190734863,7.099999904632568,6.900000095367432,6.699999809265137,6.300000190734863,5.800000190734863,4.300000190734863,3.099999904632568,1.100000023841858,2.900000095367431,3.0,1.700000047683715,2.200000047683716,2.700000047683716,4.199999809265137,5.5,6.800000190734863
10,2019-08-06 05:11:35+00:00,2019-08-06 05:12:05+00:00,2019-08-06 05:13:04+00:00,2019-08-06 05:14:17+00:00,2019-08-06 05:15:25+00:00,2019-08-06 05:16:37+00:00,2019-08-06 05:17:55+00:00,2019-08-06 05:19:37+00:00,2019-08-06 05:22:46+00:00,2019-08-06 05:26:37+00:00,2019-08-06 05:40:35+00:00,2019-08-06 05:42:35+00:00,2019-08-06 05:43:26+00:00,2019-08-06 05:44:05+00:00,2019-08-06 05:44:56+00:00,2019-08-06 05:45:44+00:00,2019-08-06 05:46:36+00:00,2019-08-06 05:47:15+00:00,2019-08-06 05:48:04+00:00,7.599999904632568,7.099999904632568,6.400000095367432,5.699999809265137,4.900000095367432,4.699999809265137,4.400000095367432,3.700000047683716,1.899999976158142,0.5,3.299999952316284,7.099999904632568,8.199999809265137,8.300000190734863,8.5,9.100000381469727,8.699999809265137,8.899999618530273,9.0
11,2019-08-06 05:34:02+00:00,2019-08-06 05:34:02+00:00,2019-08-06 05:34:02+00:00,2019-08-06 05:34:02+00:00,2019-08-06 05:34:02+00:00,2019-08-06 05:34:02+00:00,2019-08-06 05:34:02+00:00,2019-08-06 05:34:02+00:00,2019-08-06 05:36:21+00:00,2019-08-06 05:40:52+00:00,2019-08-06 05:42:22+00:00,2019-08-06 05:44:12+00:00,2019-08-06 05:45:02+00:00,2019-08-06 05:45:52+00:00,2019-08-06 05:46:41+00:00,2019-08-06 05:47:32+00:00,2019-08-06 05:48:09+00:00,2019-08-06 05:49:00+00:00,2019-08-06 05:49:51+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799999952316284,4.5,7.199999809265137,7.800000190734863,8.300000190734863,8.5,8.600000381469727,8.5,8.5,8.300000190734863
12,2019-08-06 06:31:34+00:00,2019-08-06 06:30:57+00:00,2019-08-06 06:30:04+00:00,2019-08-06 06:29:13+00:00,2019-08-06 06:28:25+00:00,2019-08-06 06:27:39+00:00,2019-08-06 06:26:50+00:00,2019-08-06 06:25:54+00:00,2019-08-06 06:23:55+00:00,2019-08-06 06:01:42+00:00,2019-08-06 05:58:09+00:00,2019-08-06 05:54:18+00:00,2019-08-06 05:52:51+00:00,2019-08-06 05:51:41+00:00,2019-08-06 05:50:38+00:00,2019-08-06 05:49:44+00:00,2019-08-06 05:48:54+00:00,2019-08-06 05:48:03+00:00,2019-08-06 05:47:14+00:00,7.599999904632568,7.699999809265137,7.699999809265137,7.699999809265137,7.599999904632568,7.400000095367432,7.0,6.199999809265137,3.400000095367431,0.699999988079071,2.200000047683716,3.900000095367431,5.099999904632568,6.300000190734863,7.099999904632568,7.599999904632568,8.199999809265137,8.100000381469727,8.199999809265137
13,2019-08-06 06:33:30+00:00,2019-08-06 06:32:49+00:00,2019-08-06 06:31:48+00:00,2019-08-06 06:31:00+00:00,2019-08-06 06:30:00+00:00,2019-08-06 06:29:18+00:00,2019-08-06 06:28:20+00:00,2019-08-06 06:27:20+00:00,2019-08-06 06:25:29+00:00,2019-08-06 06:02:59+00:00,2019-08-06 06:00:18+00:00,2019-08-06 05:56:40+00:00,2019-08-06 05:55:00+00:00,2019-08-06 05:53:48+00:00,2019-08-06 05:52:48+00:00,2019-08-06 05:51:48+00:00,2019-08-06 05:50:48+00:00,2019-08-06 05:49:57+00:00,2019-08-06 05:48:59+00:00,6.900000095367432,7.0,7.0,6.900000095367432,7.0,6.800000190734863,6.5,6.0,4.099999904632568,1.299999952316284,2.0,3.599999904632568,4.800000190734863,5.900000095367432,6.900000095367432,7.199999809265137,7.199999809265137,7.300000190734863,7.300000190734863
14,2019-08-06 06:35:07+00:00,2019-08-06 06:34:36+00:00,2019-08-06 06:33:48+00:00,2019-08-06 06:33:07+00:00,2019-08-06 06:32:17+00:00,2019-08-06 06:31:38+00:00,2019-08-06 06:30:57+00:00,2019-08-06 06:30:09+00:00,2019-08-06 06:28:16+00:00,2019-08-06 06:26:57+00:00,2019-08-06 06:20:37+00:00,2019-08-06 06:02:38+00:00,2019-08-06 06:01:09+00:00,2019-08-06 05:59:58+00:00,2019-08-06 05:58:46+00:00,2019-08-06 05:57:46+00:00,2019-08-06 05:56:59+00:00,2019-08-06 05:56:07+00:00,2019-08-06 05:55:27+00:00,8.800000190734863,8.600000381469727,8.5,8.300000190734863,8.399999618530273,8.399999618530273,8.199999809265137,7.300000190734863,4.800000190734863,3.400000095367431,0.0,3.900000095367431,5.0,6.0,6.900000095367432,7.0,7.599999904632568,9.5,9.699999809265137
15,2019-08-06 01:31:48+00:00,2019-08-06 01:30:49+00:00,2019-08-06 01:29:38+00:00,2019-08-06 01:28:38+00:00,2019-08-06 01:27:30+00:00,2019-08-06 01:26:18+00:00,2019-08-06 01:25:09+00:00,2019-08-06 01:23:38+00:00,2019-08-06 01:20:59+00:00,2019-08-06 01:07:08+00:00,2019-08-06 00:59:59+00:00,2019-08-06 00:54:49+00:00,2019-08-06 00:52:50+00:00,2019-08-06 00:51:00+00:00,2019-08-06 00:49:20+00:00,2019-08-06 00:47:48+00:00,2019-08-06 00:46:28+00:00,2019-08-06 00:45:20+00:00,2019-08-06 00:44:17+00:00,5.099999904632568,5.800000190734863,5.800000190734863,5.699999809265137,5.5,5.199999809265137,4.800000190734863,4.400000095367432,2.700000047683716,0.300000011920928,1.5,2.900000095367431,3.299999952316284,4.0,3.799999952316284,4.599999904632568,5.5,6.0,6.099999904632568
16,2019-08-06 01:36:38+00:00,2019-08-06 01:36:58+00:00,2019-08-06 01:38:19+00:00,2019-08-06 01:39:19+00:00,2019-08-06 01:40:19+00:00,2019-08-06 01:41:06+00:00,2019-08-06 01:42:07+00:00,2019-08-06 01:43:17+00:00,2019-08-06 01:46:20+00:00,2019-08-06 01:56:49+00:00,2019-08-06 02:00:19+00:00,2019-08-06 02:03:08+00:00,2019-08-06 02:04:00+00:00,2019-08-06 02:04:50+00:00,2019-08-06 02:05:39+00:00,2019-08-06 02:06:18+00:00,2019-08-06 02:07:08+00:00,2019-08-06 02:07:57+00:00,2019-08-06 02:08:39+00:00,7.5,6.900000095367432,4.900000095367432,6.699999809265137,7.400000095367432,6.900000095367432,5.900000095367432,5.300000190734863,1.7999999523162842,0.0,2.700000047683716,6.5,7.699999809265137,8.300000190734863,8.399999618530273,8.399999618530273,8.300000190734863,8.399999618530273,8.5
17,2019-08-06 03:17:55+00:00,2019-08-06 03:17:23+00:00,2019-08-06 03:16:34+00:00,2019-08-06 03:15:46+00:00,2019-08-06 03:14:45+00:00,2019-08-06 03:13:54+00:00,2019-08-06 03:12:45+00:00,2019-08-06 03:11:36+00:00,2019-08-06 03:09:16+00:00,2019-08-06 02:51:31+00:00,2019-08-06 02:48:32+00:00,2019-08-06 02:45:01+00:00,2019-08-06 02:43:30+00:00,2019-08-06 02:42:10+00:00,2019-08-06 02:41:10+00:00,2019-08-06 02:40:21+00:00,2019-08-06 02:39:30+00:00,2019-08-06 02:38:40+00:00,2019-08-06 02:37:52+00:00,7.800000190734863,7.900000095367432,7.800000190734863,7.5,6.400000095367432,5.900000095367432,5.699999809265137,5.300000190734863,3.400000095367431,1.100000023841858,2.099999904632568,4.099999904632568,5.099999904632568,5.400000095367432,6.5,7.400000095367432,8.100000381469727,8.100000381469727,8.100000381469727
18,2019-08-06 03:23:26+00:00,2019-08-06 03:22:49+00:00,2019-08-06 03:21:53+00:00,2019-08-06 03:21:04+00:00,2019-08-06 03:20:13+00:00,2019-08-06 03:19:14+00:00,2019-08-06 03:18:24+00:00,2019-08-06 03:17:14+00:00,2019-08-06 03:14:34+00:00,2019-08-06 03:12:54+00:00,2019-08-06 02:55:35+00:00,2019-08-06 02:50:13+00:00,2019-08-06 02:47:22+00:00,2019-08-06 02:45:22+00:00,2019-08-06 02:43:52+00:00,2019-08-06 02:42:45+00:00,2019-08-06 02:41:33+00:00,2019-08-06 02:40:43+00:00,2019-08-06 02:40:00+00:00,7.0,7.199999809265137,7.199999809265137,7.099999904632568,7.0,6.699999809265137,6.300000190734863,5.300000190734863,3.400000095367431,2.400000095367431,0.699999988079071,2.5,2.599999904632568,3.799999952316284,5.0,5.900000095367432,7.0,8.199999809265137,8.5
19,2019-08-06 03:03:29+00:00,2019-08-06 03:03:59+00:00,2019-08-06 03:05:19+00:00,2019-08-06 03:06:38+00:00,2019-08-06 03:08:30+00:00,2019-08-06 03:11:01+00:00,2019-08-06 03:14:40+00:00,2019-08-06 03:17:30+00:00,2019-08-06 03:21:28+00:00,2019-08-06 03:31:40+00:00,2019-08-06 03:33:42+00:00,2019-08-06 03:36:21+00:00,2019-08-06 03:37:22+00:00,2019-08-06 03:38:33+00:00,2019-08-06 03:39:20+00:00,2019-08-06 03:40:20+00:00,2019-08-06 03:41:22+00:00,2019-08-06 03:42:13+00:00,2019-08-06 03:43:11+00:00,5.900000095367432,5.699999809265137,5.5,4.099999904632568,3.0,2.099999904632568,1.700000047683715,3.299999952316284,1.5,1.600000023841858,3.0,5.5,6.0,6.300000190734863,6.5,6.800000190734863,7.0,7.099999904632568,7.199999809265137
20,2019-08-06 04:24:16+00:00,2019-08-06 04:23:34+00:00,2019-08-06 04:22:44+00:00,2019-08-06 04:21:54+00:00,2019-08-06 04:21:16+00:00,2019-08-06 04:20:26+00:00,2019-08-06 04:19:36+00:00,2019-08-06 04:18:44+00:00,2019-08-06 04:17:07+00:00,2019-08-06 04:02:46+00:00,2019-08-06 04:00:46+00:00,2019-08-06 03:58:34+00:00,2019-08-06 03:57:17+00:00,2019-08-06 03:55:55+00:00,2019-08-06 03:34:16+00:00,2019-08-06 00:47:05+00:00,2019-08-06 00:47:05+00:00,2019-08-06 01:19:07+00:00,2019-08-06 01:19:07+00:00,7.699999809265137,7.699999809265137,7.699999809265137,7.800000190734863,7.800000190734863,7.699999809265137,7.5,7.099999904632568,4.599999904632568,1.7999999523162842,4.199999809265137,5.199999809265137,4.900000095367432,4.300000190734863,0.0,0.0,0.0,0.0,0.0
