VesselID,width,length,height_unloaded,height_loaded,draught_unloaded,draught_loaded,emissionfactor,installed_power,own_weight,capacity_loaded,capacity_unloaded,speed_loaded,speed_unloaded,resistance_loaded,resistance_unloaded,is_loaded,avv_class,cemt_class,type,scenario
29a24858-4a51-11e9-9792-b469212bff5b,5.05,38.5,2.0,5.25,1.5,2.7,0.73,36.0,80.0,260.0,0.0,3.083,4.47,16919.0,9188.0,0.0,M1,I,Spits,"['Base Case', 'NS-High', 'NS-Low']"
3254257e-4a51-11e9-8548-b469212bff5b,5.05,38.5,2.0,5.25,1.5,2.7,0.73,36.0,80.0,260.0,0.0,3.083,4.47,16919.0,9188.0,1.0,M1,I,Spits,"['Base Case', 'NS-High', 'NS-Low']"
dcc05ff4-4972-11e9-a543-b469212bff5b,6.06,55.0,2.0,6.1,1.5,2.7,0.72,118.0,90.0,422.5,0.0,3.361,4.638,28770.0,17524.0,0.0,M2,II,Kempenaar,"['Base Case', 'NS-High', 'NS-Low']"
dcc05ff4-4972-11e9-a543-b469212bff5b,6.06,55.0,2.0,6.1,1.5,2.7,0.72,118.0,90.0,422.5,0.0,3.361,4.638,28770.0,17524.0,1.0,M2,II,Kempenaar,"['Base Case', 'NS-High', 'NS-Low']"
e6cea50a-4972-11e9-a1f1-b469212bff5b,7.2,70.0,2.0,6.4,1.5,2.7,0.72,120.0,100.0,520.0,0.0,3.861,4.638,43935.0,22746.0,0.0,M3,III,Hagenaar,"['Base Case', 'NS-High', 'NS-Low']"
e6cea50a-4972-11e9-a1f1-b469212bff5b,7.2,70.0,2.0,6.4,1.5,2.7,0.72,120.0,100.0,520.0,0.0,3.861,4.638,43935.0,22746.0,1.0,M3,III,Hagenaar,"['Base Case', 'NS-High', 'NS-Low']"
f0eb9740-4972-11e9-96ab-b469212bff5b,8.2,73.0,2.0,6.6,1.5,2.7,0.72,160.0,110.0,682.5,0.0,4.0,4.889,50582.0,28777.0,0.0,M4,III,Dortmund-Eems (L <= 74 m),['Base Case']
f0eb9740-4972-11e9-96ab-b469212bff5b,8.2,73.0,2.0,6.6,1.5,2.7,0.72,160.0,110.0,682.5,0.0,4.0,4.889,50582.0,28777.0,1.0,M4,III,Dortmund-Eems (L <= 74 m),['Base Case']
f5685128-4972-11e9-9bc8-b469212bff5b,8.2,85.0,2.0,6.4,1.5,2.7,0.72,323.0,140.0,812.5,0.0,3.916,5.027,54096.0,31794.0,0.0,M5,III,Verl. Dortmund (L > 74 m),"['Base Case', 'NS-High', 'NS-Low']"
f5685128-4972-11e9-9bc8-b469212bff5b,8.2,85.0,2.0,6.4,1.5,2.7,0.72,323.0,140.0,812.5,0.0,3.916,5.027,54096.0,31794.0,1.0,M5,III,Verl. Dortmund (L > 74 m),"['Base Case', 'NS-High', 'NS-Low']"
fa18f668-4972-11e9-be98-b469212bff5b,9.5,85.0,2.0,7.0,1.5,2.7,0.71,263.0,120.0,1137.5,0.0,3.916,5.194,70802.0,44676.0,0.0,M6,IV,Rijn-Herne Schip (L <= 86 m),"['Base Case', 'NS-High', 'NS-Low']"
fa18f668-4972-11e9-be98-b469212bff5b,9.5,85.0,2.0,7.0,1.5,2.7,0.71,263.0,120.0,1137.5,0.0,3.916,5.194,70802.0,44676.0,1.0,M6,IV,Rijn-Herne Schip (L <= 86 m),"['Base Case', 'NS-High', 'NS-Low']"
fec15af4-4972-11e9-97be-b469212bff5b,9.5,105.0,2.0,7.0,1.5,2.7,0.7,258.0,110.0,1332.5,0.0,3.778,5.361,74294.0,53220.0,0.0,M7,IV,Verl. Rijn-Herne Schip (L > 86 m),"['Base Case', 'NS-High', 'NS-Low']"
fec15af4-4972-11e9-97be-b469212bff5b,9.5,105.0,2.0,7.0,1.5,2.7,0.7,258.0,110.0,1332.5,0.0,3.778,5.361,74294.0,53220.0,1.0,M7,IV,Verl. Rijn-Herne Schip (L > 86 m),"['Base Case', 'NS-High', 'NS-Low']"
045a2bc2-4973-11e9-ac77-b469212bff5b,11.4,110.0,4.0,9.1,1.5,2.7,0.7,318.0,100.0,1762.15,0.0,3.7777,5.3333,106453.0,61526.0,0.0,M8,Va,Groot Rijnschip,"['Base Case', 'NS-High', 'NS-Low']"
045a2bc2-4973-11e9-ac77-b469212bff5b,11.4,110.0,4.0,9.1,1.5,2.7,0.7,318.0,100.0,1762.15,0.0,3.7777,5.3333,106453.0,61526.0,1.0,M8,Va,Groot Rijnschip,"['Base Case', 'NS-High', 'NS-Low']"
0cbee714-4973-11e9-a6c3-b469212bff5b,11.4,135.0,3.0,9.1,1.5,2.7,0.7,350.0,120.0,2600.0,0.0,3.805,5.416,116161.0,69833.0,0.0,M9,Va,Verl. Groot Rijnschip,"['NS-High', 'NS-Low']"
0cbee714-4973-11e9-a6c3-b469212bff5b,11.4,135.0,3.0,9.1,1.5,2.7,0.7,350.0,120.0,2600.0,0.0,3.805,5.416,116161.0,69833.0,1.0,M9,Va,Verl. Groot Rijnschip,"['NS-High', 'NS-Low']"
11069770-4973-11e9-8083-b469212bff5b,13.5,135.0,3.0,8.0,1.5,2.7,0.7,350.0,120.0,2795.0,0.0,3.583,5.388,124101.0,72153.0,0.0,M10,VIa,Maatgevend schip,"['Base Case', 'NS-High', 'NS-Low']"
11069770-4973-11e9-8083-b469212bff5b,13.5,135.0,3.0,8.0,1.5,2.7,0.7,350.0,120.0,2795.0,0.0,3.583,5.388,124101.0,72153.0,1.0,M10,VIa,Maatgevend schip,"['Base Case', 'NS-High', 'NS-Low']"
147059ae-4973-11e9-8d83-b469212bff5b,14.2,135.0,3.0,8.0,1.5,2.7,0.7,380.0,150.0,3640.0,0.0,4.027,5.277,141593.0,85947.0,0.0,M11,VIa,Maatgevend schip,"['Base Case', 'NS-High', 'NS-Low']"
147059ae-4973-11e9-8d83-b469212bff5b,14.2,135.0,3.0,8.0,1.5,2.7,0.7,380.0,140.0,3640.0,0.0,4.027,5.277,141593.0,85947.0,1.0,M11,VIa,Maatgevend schip,"['Base Case', 'NS-High', 'NS-Low']"
1827f876-4973-11e9-84b9-b469212bff5b,17.0,135.0,3.0,8.0,1.5,2.7,0.7,380.0,145.0,3640.0,0.0,3.888,5.138,167863.0,102290.0,0.0,M12,VIa,Rijnmax schip,"['Base Case', 'NS-High', 'NS-Low']"
1827f876-4973-11e9-84b9-b469212bff5b,17.0,135.0,3.0,8.0,1.5,2.7,0.7,380.0,145.0,3640.0,0.0,3.888,5.138,167863.0,102290.0,1.0,M12,VIa,Rijnmax schip,"['Base Case', 'NS-High', 'NS-Low']"
1be8986e-4973-11e9-baae-b469212bff5b,9.5,90.0,3.0,7.0,1.5,2.7,0.71,263.0,130.0,1170.0,0.0,3.666,4.444,63671.0,27159.0,0.0,BI,IV,1 baksduwstel Europa I,"['Base Case', 'NS-High', 'NS-Low']"
1be8986e-4973-11e9-baae-b469212bff5b,9.5,90.0,3.0,7.0,1.5,2.7,0.71,263.0,130.0,1170.0,0.0,3.666,4.444,63671.0,27159.0,1.0,BI,IV,1 baksduwstel Europa I,"['Base Case', 'NS-High', 'NS-Low']"
24bb5f98-4973-11e9-be88-b469212bff5b,11.4,110.0,3.0,8.0,1.5,2.7,0.71,318.0,135.0,2567.5,0.0,3.555,4.778,85750.0,37792.0,0.0,BII_1,Va,1 baksduwstel Europa II,"['Base Case', 'NS-High', 'NS-Low']"
24bb5f98-4973-11e9-be88-b469212bff5b,11.4,110.0,3.0,8.0,1.5,2.7,0.71,318.0,135.0,2567.5,0.0,3.555,4.778,85750.0,37792.0,1.0,BII_1,Va,1 baksduwstel Europa II,"['Base Case', 'NS-High', 'NS-Low']"
28c5310a-4973-11e9-938b-b469212bff5b,11.4,190.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,4582.5,0.0,3.638,4.972,129810.0,55974.0,0.0,BII_2l,Vb,2 baksduwstel (lang),"['Base Case', 'NS-High', 'NS-Low']"
28c5310a-4973-11e9-938b-b469212bff5b,11.4,190.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,4582.5,0.0,3.638,4.972,129810.0,55974.0,1.0,BII_2l,Vb,2 baksduwstel (lang),"['Base Case', 'NS-High', 'NS-Low']"
3027cb64-4973-11e9-b276-b469212bff5b,22.8,145.0,3.0,8.0,1.5,2.7,0.71,350.0,150.0,4582.5,0.0,3.055,4.722,140637.0,77029.0,0.0,BII_2b,VIa,2 baksduwstel (breed),['NS-High']
3027cb64-4973-11e9-b276-b469212bff5b,22.8,145.0,3.0,8.0,1.5,2.7,0.71,350.0,150.0,4582.5,0.0,3.055,4.722,140637.0,77029.0,1.0,BII_2b,VIa,2 baksduwstel (breed),['NS-High']
34138582-4973-11e9-9237-b469212bff5b,22.8,195.0,3.0,8.0,1.5,2.7,0.71,400.0,160.0,7200.0,0.0,2.833,4.611,861913.0,114953.0,0.0,BII_4,VIb,4 baksduwstel,"['Base Case', 'NS-Low']"
34138582-4973-11e9-9237-b469212bff5b,22.8,195.0,3.0,8.0,1.5,2.7,0.71,400.0,160.0,7200.0,0.0,2.833,4.611,861913.0,114953.0,1.0,BII_4,VIb,4 baksduwstel,"['Base Case', 'NS-Low']"
37eb9770-4973-11e9-87fe-b469212bff5b,5.2,55.0,3.0,5.25,1.5,2.7,0.71,36.0,80.0,260.0,0.0,3.889,4.167,27281.0,10473.0,0.0,B01,0,Duwbak: 5.20 * 32.5,"['Base Case', 'NS-High', 'NS-Low']"
37eb9770-4973-11e9-87fe-b469212bff5b,5.2,55.0,3.0,5.25,1.5,2.7,0.71,36.0,80.0,260.0,0.0,3.889,4.167,27281.0,10473.0,1.0,B01,0,Duwbak: 5.20 * 32.5,"['Base Case', 'NS-High', 'NS-Low']"
3c8896ac-4973-11e9-8cff-b469212bff5b,6.6,70.0,3.0,6.1,1.5,2.7,0.71,118.0,90.0,390.0,0.0,3.333,4.305,36338.0,15187.0,0.0,B02,0,Duwbak: 6.70 * 48,"['Base Case', 'NS-High', 'NS-Low']"
3c8896ac-4973-11e9-8cff-b469212bff5b,6.6,70.0,3.0,6.1,1.5,2.7,0.71,118.0,90.0,390.0,0.0,3.333,4.305,36338.0,15187.0,1.0,B02,0,Duwbak: 6.70 * 48,"['Base Case', 'NS-High', 'NS-Low']"
4073635c-4973-11e9-b613-b469212bff5b,7.5,80.0,3.0,6.4,1.5,2.7,0.71,120.0,95.0,520.0,0.0,3.667,4.278,42647.0,18677.0,0.0,B03,0,Duwbak: 7.50 * 55,"['Base Case', 'NS-High', 'NS-Low']"
4073635c-4973-11e9-b613-b469212bff5b,7.5,80.0,3.0,6.4,1.5,2.7,0.71,120.0,95.0,520.0,0.0,3.667,4.278,42647.0,18677.0,1.0,B03,0,Duwbak: 7.50 * 55,"['Base Case', 'NS-High', 'NS-Low']"
463fde30-4973-11e9-ba75-b469212bff5b,8.2,85.0,3.0,6.6,1.5,2.7,0.71,160.0,95.0,812.5,0.0,3.778,4.361,47147.0,21147.0,0.0,B04,0,Duwbak: 8.20 * 62,"['Base Case', 'NS-High', 'NS-Low']"
463fde30-4973-11e9-ba75-b469212bff5b,8.2,85.0,3.0,6.6,1.5,2.7,0.71,160.0,95.0,812.5,0.0,3.778,4.361,47147.0,21147.0,1.0,B04,0,Duwbak: 8.20 * 62,"['Base Case', 'NS-High', 'NS-Low']"
49c3124a-4973-11e9-be8c-b469212bff5b,5.05,80.0,3.0,5.25,1.5,2.7,0.71,36.0,80.0,585.0,0.0,3.278,4.389,20357.0,15211.0,0.0,C1l,I,2 Spitsen lang,"['Base Case', 'NS-High', 'NS-Low']"
49c3124a-4973-11e9-be8c-b469212bff5b,5.05,80.0,3.0,5.25,1.5,2.7,0.71,36.0,80.0,585.0,0.0,3.278,4.389,20357.0,15211.0,1.0,C1l,I,2 Spitsen lang,"['Base Case', 'NS-High', 'NS-Low']"
4db2931a-4973-11e9-ae43-b469212bff5b,10.1,38.5,3.0,5.25,1.5,2.7,0.71,36.0,80.0,585.0,0.0,3.0,4.222,28204.0,15387.0,0.0,C1b,I,2 Spitsen breed,"['Base Case', 'NS-High', 'NS-Low']"
4db2931a-4973-11e9-ae43-b469212bff5b,10.1,38.5,3.0,5.25,1.5,2.7,0.71,36.0,80.0,585.0,0.0,3.0,4.222,28204.0,15387.0,1.0,C1b,I,2 Spitsen breed,"['Base Case', 'NS-High', 'NS-Low']"
5200e342-4973-11e9-b821-b469212bff5b,9.5,185.0,3.0,7.0,1.5,2.7,0.71,258.0,140.0,2010.0,0.0,3.583,4.722,111004.0,68736.0,0.0,C2l,IVb,Klasse IV + 1 Europa I bak lang,"['Base Case', 'NS-High', 'NS-Low']"
5200e342-4973-11e9-b821-b469212bff5b,9.5,185.0,3.0,7.0,1.5,2.7,0.71,258.0,140.0,2010.0,0.0,3.583,4.722,111004.0,68736.0,1.0,C2l,IVb,Klasse IV + 1 Europa I bak lang,"['Base Case', 'NS-High', 'NS-Low']"
560257d0-4973-11e9-be15-b469212bff5b,19.0,105.0,3.0,9.1,1.5,2.7,0.71,350.0,140.0,2177.5,0.0,2.583,4.167,93843.0,70473.0,0.0,C2b,VIa,Klasse IV + 1 Europa I bak breed,"['NS-High', 'NS-Low']"
560257d0-4973-11e9-be15-b469212bff5b,19.0,105.0,3.0,9.1,1.5,2.7,0.71,350.0,140.0,2177.5,0.0,2.583,4.167,93843.0,70473.0,1.0,C2b,VIa,Klasse IV + 1 Europa I bak breed,"['NS-High', 'NS-Low']"
5972634c-4973-11e9-bd78-b469212bff5b,11.4,190.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,4350.0,0.0,3.25,5.056,111004.0,68736.0,0.0,C3l,Vb,Klasse Va + 1 Europa II bak lang,"['Base Case', 'NS-High', 'NS-Low']"
5972634c-4973-11e9-bd78-b469212bff5b,11.4,190.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,4350.0,0.0,3.25,5.056,111004.0,68736.0,1.0,C3l,Vb,Klasse Va + 1 Europa II bak lang,"['Base Case', 'NS-High', 'NS-Low']"
60f4dfa4-4973-11e9-9a85-b469212bff5b,22.8,110.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,3625.0,0.0,2.333,4.278,93843.0,70473.0,0.0,C3b,VIa,Klasse Va + 1 Europa II bak breed,"['Base Case', 'NS-High', 'NS-Low']"
60f4dfa4-4973-11e9-9a85-b469212bff5b,22.8,110.0,3.0,8.0,1.5,2.7,0.71,350.0,140.0,3625.0,0.0,2.333,4.278,93843.0,70473.0,1.0,C3b,VIa,Klasse Va + 1 Europa II bak breed,"['Base Case', 'NS-High', 'NS-Low']"
667d1536-4973-11e9-a5bb-b469212bff5b,22.8,185.0,3.0,8.0,1.5,2.7,0.71,400.0,150.0,4712.5,0.0,3.0,4.472,111004.0,68736.0,0.0,C4,VIb,Klasse Va + 3 Europa II bakken,"['Base Case', 'NS-High', 'NS-Low']"
667d1536-4973-11e9-a5bb-b469212bff5b,22.8,185.0,3.0,8.0,1.5,2.7,0.71,400.0,150.0,4712.5,0.0,3.0,4.472,111004.0,68736.0,1.0,C4,VIb,Klasse Va + 3 Europa II bakken,"['Base Case', 'NS-High', 'NS-Low']"
6a9cbdee-4973-11e9-84e3-b469212bff5b,22.8,270.0,3.0,8.0,1.5,2.7,0.71,400.0,165.0,9000.0,0.0,2.667,4.472,213665.0,151739.0,0.0,BII_6l,VIc,6 baksduwstel (lang),"['Base Case', 'NS-High', 'NS-Low']"
6a9cbdee-4973-11e9-84e3-b469212bff5b,22.8,270.0,3.0,8.0,1.5,2.7,0.71,400.0,165.0,9000.0,0.0,2.667,4.472,213665.0,151739.0,1.0,BII_6l,VIc,6 baksduwstel (lang),"['Base Case', 'NS-High', 'NS-Low']"
