,shipname,shiptype,chamber,enter time waiting area,enter time,exit time,speed=0 start,speed=0 stop,locking time,waiting time,v enter,direction,length,width,draught,hazardous cargo,old index
0,testschip-2338,83,1,,2019-08-06 00:38:18+00:00,2019-08-06 00:45:48+00:00,2019-08-06 00:38:18+00:00,2019-08-06 00:42:41.166666+00:00,7.5,,[],1,,,1.5499999523162842,1,0
1,testschip-3743,80,3,2019-08-06 00:45:03+00:00,2019-08-06 00:38:19+00:00,2019-08-06 00:57:35+00:00,2019-08-06 00:43:08+00:00,2019-08-06 00:53:18.999999+00:00,19.266666666666666,,[],1,101.0,12.0,2.150000095367431,1,28
2,testschip-893,80,2,2019-08-06 00:42:39+00:00,2019-08-06 00:54:58+00:00,2019-08-06 01:23:20+00:00,2019-08-06 01:03:28+00:00,2019-08-06 01:17:59.999994+00:00,28.366666666666667,,[3.10946495],2,135.0,15.0,3.470000028610229,1,15
3,testschip-2769,79,3,2019-08-06 01:12:06+00:00,2019-08-06 01:25:16+00:00,2019-08-06 01:49:54+00:00,2019-08-06 01:33:46+00:00,2019-08-06 01:43:17.333365+00:00,24.633333333333333,,[2.97768066],2,186.0,12.0,2.299999952316284,5,29
4,testschip-3740,79,2,2019-08-06 01:36:38+00:00,2019-08-06 01:43:39+00:00,2019-08-06 02:03:00+00:00,2019-08-06 01:50:29+00:00,2019-08-06 01:56:02.499956+00:00,19.35,,[4.5628089],1,110.0,11.0,1.5,5,16
5,testschip-1503,79,3,2019-08-06 02:23:04+00:00,2019-08-06 02:30:34+00:00,2019-08-06 02:57:37+00:00,2019-08-06 02:39:13+00:00,2019-08-06 02:52:51+00:00,27.05,,[4.26685245],1,,12.0,2.799999952316284,5,30
6,testschip-899,80,3,2019-08-06 02:28:58+00:00,2019-08-06 02:36:28+00:00,2019-08-06 02:59:19+00:00,2019-08-06 02:40:58+00:00,2019-08-06 02:53:42.200002+00:00,22.85,,[4.2763051],1,,13.0,,1,31
7,testschip-988,80,1,2019-08-06 02:29:54+00:00,2019-08-06 02:37:02+00:00,2019-08-06 02:56:23+00:00,2019-08-06 02:42:23+00:00,2019-08-06 02:53:56.249999+00:00,19.35,,[5.36543382],2,,12.0,2.5,1,1
8,testschip-3200,80,1,2019-08-06 02:31:57+00:00,2019-08-06 02:39:18+00:00,2019-08-06 02:57:09+00:00,2019-08-06 02:43:58+00:00,2019-08-06 02:54:16.235293+00:00,17.85,,[5.26568951],2,110.0,12.0,,5,2
9,testschip-3137,80,2,2019-08-06 02:36:31+00:00,2019-08-06 02:45:01+00:00,2019-08-06 03:11:05+00:00,2019-08-06 02:52:52+00:00,2019-08-06 03:07:12.000014+00:00,26.066666666666666,,[4.50147733],2,,11.0,,1,17
10,testschip-3035,79,2,2019-08-06 02:38:43+00:00,2019-08-06 02:50:13+00:00,2019-08-06 03:16:42+00:00,2019-08-06 02:55:55+00:00,2019-08-06 03:09:33.999984+00:00,26.483333333333334,,[3.33781991],2,135.0,17.0,,5,18
11,testschip-739,79,1,2019-08-06 02:40:52+00:00,2019-08-06 03:03:03+00:00,2019-08-06 03:31:04+00:00,2019-08-06 03:12:13+00:00,2019-08-06 03:27:06.714290+00:00,28.016666666666666,0 days 00:06:52,,1,135.0,12.0,2.5,5,3
12,testschip-2309,80,3,2019-08-06 02:55:57+00:00,2019-08-06 03:05:18+00:00,2019-08-06 03:28:19+00:00,2019-08-06 03:13:07+00:00,2019-08-06 03:23:59.999962+00:00,23.016666666666666,,[4.19147366],2,86.0,10.0,2.950000047683716,1,32
13,testschip-3711,79,1,2019-08-06 02:44:27+00:00,2019-08-06 03:07:57+00:00,2019-08-06 03:34:18+00:00,2019-08-06 03:12:59+00:00,2019-08-06 03:28:53.999992+00:00,26.35,0 days 00:08:41,,1,135.0,11.0,3.150000095367431,5,4
14,testschip-701,80,2,2019-08-06 03:03:29+00:00,2019-08-06 03:18:00+00:00,2019-08-06 03:36:11+00:00,2019-08-06 03:23:30+00:00,2019-08-06 03:29:43.428558+00:00,18.183333333333334,,[2.20446357],1,135.0,15.0,3.150000095367431,1,19
15,testschip-1452,80,1,2019-08-06 03:24:21+00:00,2019-08-06 03:35:54+00:00,2019-08-06 03:59:52+00:00,2019-08-06 03:44:12+00:00,2019-08-06 03:56:08.666672+00:00,23.966666666666665,,[3.26519965],2,110.0,12.0,3.5,5,5
16,testschip-3681,90,3,2019-08-06 00:38:13+00:00,2019-08-06 03:36:23+00:00,2019-08-06 03:51:12+00:00,2019-08-06 03:40:33+00:00,2019-08-06 03:48:53.961538+00:00,14.816666666666666,0 days 02:54:18,,1,86.0,10.0,2.599999904632568,5,33
17,testschip-2304,79,2,2019-08-06 00:38:15+00:00,2019-08-06 03:58:46+00:00,2019-08-06 04:18:25+00:00,2019-08-06 04:04:04+00:00,2019-08-06 04:15:34.181815+00:00,19.65,0 days 03:15:29,,2,110.0,10.0,,5,20
18,testschip-3233,79,3,2019-08-06 03:52:23+00:00,2019-08-06 04:05:03+00:00,2019-08-06 04:45:15+00:00,2019-08-06 04:16:23+00:00,2019-08-06 04:40:12.499995+00:00,40.2,,[3.11667536],2,117.0,14.0,,5,34
19,testschip-3716,79,1,2019-08-06 04:07:29+00:00,2019-08-06 04:13:30+00:00,2019-08-06 04:34:35+00:00,2019-08-06 04:24:57+00:00,2019-08-06 04:31:14.249995+00:00,21.083333333333332,,[5.44246274],1,54.0,6.0,1.0,5,6
20,testschip-3337,80,3,2019-08-06 04:08:38+00:00,2019-08-06 04:17:59+00:00,2019-08-06 04:48:27+00:00,2019-08-06 04:23:48+00:00,2019-08-06 04:41:19.333321+00:00,30.466666666666665,,[4.11323364],2,170.0,24.0,1.5,1,35
21,testschip-3766,80,1,2019-08-06 04:14:03+00:00,2019-08-06 04:19:20+00:00,2019-08-06 04:36:33+00:00,2019-08-06 04:22:03+00:00,2019-08-06 04:32:42.600001+00:00,17.216666666666665,,[5.81085855],1,135.0,11.0,,5,7
22,testschip-2895,80,3,2019-08-06 04:16:20+00:00,2019-08-06 04:24:31+00:00,2019-08-06 04:50:19+00:00,2019-08-06 04:30:51+00:00,2019-08-06 04:44:39.500001+00:00,25.8,,[4.77686607],2,85.0,10.0,2.299999952316284,5,36
23,testschip-3731,79,2,2019-08-06 04:17:09+00:00,2019-08-06 04:25:21+00:00,2019-08-06 04:41:50+00:00,2019-08-06 04:29:31+00:00,2019-08-06 04:37:18.888889+00:00,16.483333333333334,,[3.98764368],1,106.0,13.0,1.600000023841858,5,21
24,testschip-3013,80,1,2019-08-06 04:18:42+00:00,2019-08-06 04:37:30+00:00,2019-08-06 05:00:01+00:00,2019-08-06 04:42:52+00:00,2019-08-06 04:53:51.000036+00:00,22.516666666666666,0 days 00:06:49,,2,136.0,16.0,3.849999904632568,5,8
25,testschip-1414,20,1,2019-08-06 04:20:22+00:00,2019-08-06 04:40:13+00:00,2019-08-06 05:01:32+00:00,2019-08-06 04:45:52+00:00,2019-08-06 04:54:40.999954+00:00,21.316666666666666,0 days 00:02:50,,2,112.0,12.0,3.0,1,9
26,testschip-1508,80,3,2019-08-06 04:49:27+00:00,2019-08-06 04:56:27+00:00,2019-08-06 05:16:35+00:00,2019-08-06 05:01:56+00:00,2019-08-06 05:13:40.375001+00:00,20.133333333333333,,[4.4612508],1,85.0,10.0,2.0,5,37
27,testschip-1194,80,2,2019-08-06 04:48:58+00:00,2019-08-06 04:57:29+00:00,2019-08-06 05:13:49+00:00,2019-08-06 05:04:00+00:00,2019-08-06 05:08:08.999958+00:00,16.333333333333332,,[4.49554723],2,,12.0,2.900000095367431,1,22
28,testschip-1624,80,3,2019-08-06 05:09:14+00:00,2019-08-06 05:17:26+00:00,2019-08-06 05:54:37+00:00,2019-08-06 05:24:04+00:00,2019-08-06 05:50:44+00:00,37.18333333333333,,[4.7713373],2,110.0,12.0,2.5,5,38
29,testschip-999,20,1,2019-08-06 05:11:35+00:00,2019-08-06 05:20:15+00:00,2019-08-06 05:42:35+00:00,2019-08-06 05:27:45+00:00,2019-08-06 05:38:31.666657+00:00,22.333333333333332,,[3.90638236],1,135.0,15.0,,5,10
30,testschip-3607,79,3,2019-08-06 05:13:13+00:00,2019-08-06 05:20:24+00:00,2019-08-06 05:55:24+00:00,2019-08-06 05:27:05+00:00,2019-08-06 05:52:47.000015+00:00,35.0,,[5.29640451],2,80.0,9.0,1.0,5,39
31,testschip-3450,80,3,2019-08-06 05:21:11+00:00,2019-08-06 05:28:21+00:00,2019-08-06 05:57:04+00:00,2019-08-06 05:34:51+00:00,2019-08-06 05:53:40.000009+00:00,28.716666666666665,,[5.43662958],2,110.0,12.0,3.099999904632568,5,40
32,testschip-2188,80,2,2019-08-06 05:24:03+00:00,2019-08-06 05:30:43+00:00,2019-08-06 05:58:16+00:00,2019-08-06 05:39:14+00:00,2019-08-06 05:54:14.199999+00:00,27.55,,[4.98775743],1,135.0,15.0,4.0,5,23
33,testschip-1755,79,1,,2019-08-06 05:32:21+00:00,2019-08-06 05:44:12+00:00,2019-08-06 05:32:21+00:00,2019-08-06 05:37:37.499960+00:00,11.85,,[],1,,,2.0,5,11
34,testschip-3642,79,3,2019-08-06 05:25:22+00:00,2019-08-06 05:35:39+00:00,2019-08-06 05:59:11+00:00,2019-08-06 05:42:02+00:00,2019-08-06 05:54:36.000004+00:00,23.533333333333335,,[3.74120028],2,80.0,10.0,2.200000047683716,5,41
35,testschip-1317,69,2,2019-08-06 05:30:36+00:00,2019-08-06 05:36:55+00:00,2019-08-06 06:00:36+00:00,2019-08-06 05:40:24+00:00,2019-08-06 05:51:52.000052+00:00,23.683333333333334,,[5.26388125],1,85.0,10.0,1.7999999523162842,5,24
36,testschip-46,80,2,2019-08-06 05:31:38+00:00,2019-08-06 05:41:00+00:00,2019-08-06 06:03:48+00:00,2019-08-06 05:46:39+00:00,2019-08-06 05:57:29.999994+00:00,22.8,,[3.39103124],1,125.0,11.0,4.0,5,25
37,testschip-1447,80,1,2019-08-06 05:45:56+00:00,2019-08-06 05:54:09+00:00,2019-08-06 06:25:30+00:00,2019-08-06 06:02:12+00:00,2019-08-06 06:20:45.000014+00:00,31.35,,[4.63123581],2,,,,5,12
38,testschip-2559,75,1,2019-08-06 05:47:37+00:00,2019-08-06 05:56:28+00:00,2019-08-06 06:26:50+00:00,2019-08-06 06:04:50+00:00,2019-08-06 06:24:06.250002+00:00,30.366666666666667,,[4.26606825],2,,,2.700000047683716,5,13
39,testschip-202,82,1,2019-08-06 05:54:17+00:00,2019-08-06 06:02:28+00:00,2019-08-06 06:29:38+00:00,2019-08-06 06:08:29+00:00,2019-08-06 06:24:13.999996+00:00,27.166666666666668,,[4.687501],2,,12.0,1.5,5,14
40,testschip-2506,80,3,2019-08-06 06:09:23+00:00,2019-08-06 06:15:23+00:00,2019-08-06 06:50:55+00:00,2019-08-06 06:21:14+00:00,2019-08-06 06:49:04.749966+00:00,35.53333333333333,,[5.17148537],1,110.0,12.0,2.099999904632568,5,42
41,testschip-2795,90,2,2019-08-06 06:10:08+00:00,2019-08-06 06:17:30+00:00,2019-08-06 06:39:28+00:00,2019-08-06 06:24:18+00:00,2019-08-06 06:35:59.124998+00:00,21.966666666666665,,[5.24602174],2,86.0,12.0,2.200000047683716,5,26
42,testschip-2838,79,2,2019-08-06 06:16:20+00:00,2019-08-06 06:23:10+00:00,2019-08-06 06:40:50+00:00,2019-08-06 06:28:13+00:00,2019-08-06 06:36:40.000007+00:00,17.666666666666668,,[5.61190613],2,135.0,12.0,,5,27
